Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25,56,27,Sandy,Paddy,36,6,18,10-26-26
30,66,57,Loamy,Ground Nuts,22,8,27,14-35-14
36,66,27,Black,Ground Nuts,4,10,23,28-28
35,54,47,Red,Millets,23,9,29,DAP
35,70,34,Loamy,Ground Nuts,32,0,12,17-17-17
31,56,41,Red,Tobacco,9,10,20,17-17-17
33,53,62,Red,Wheat,7,11,7,20-20
37,71,45,Sandy,Cotton,19,15,25,28-28
25,53,59,Red,Barley,7,12,2,DAP
26,62,51,Sandy,Millets,11,12,10,14-35-14
30,52,41,Black,Tobacco,29,12,18,DAP
33,56,42,Red,Oil seeds,11,5,28,17-17-17
38,68,48,Clayey,Millets,37,9,38,Urea
27,50,42,Black,Millets,21,6,41,DAP
30,51,39,Clayey,Cotton,23,8,6,14-35-14
31,53,54,Clayey,Barley,24,9,42,28-28
25,72,30,Black,Wheat,20,10,7,17-17-17
27,62,35,Black,Maize,4,13,25,10-26-26
30,56,55,Black,Barley,24,1,40,17-17-17
38,50,55,Red,Millets,36,8,8,10-26-26
33,66,62,Loamy,Wheat,38,16,6,DAP
28,70,60,Black,Oil seeds,22,0,34,Urea
30,58,49,Black,Oil seeds,26,6,0,DAP
36,63,65,Clayey,Cotton,9,17,4,17-17-17
33,61,61,Clayey,Millets,23,4,24,17-17-17
32,51,38,Sandy,Oil seeds,29,17,23,28-28
28,64,54,Black,Oil seeds,21,15,22,10-26-26
25,58,63,Clayey,Ground Nuts,21,9,21,17-17-17
29,55,54,Sandy,Ground Nuts,27,16,9,20-20
32,70,58,Loamy,Barley,28,18,18,Urea
31,70,27,Red,Paddy,12,19,5,DAP
34,50,36,Black,Oil seeds,31,17,33,Urea
38,72,58,Sandy,Paddy,28,18,17,Urea
28,50,58,Clayey,Maize,16,19,15,17-17-17
30,68,63,Red,Millets,8,1,13,17-17-17
35,70,26,Clayey,Maize,20,5,20,20-20
36,64,30,Sandy,Ground Nuts,32,9,42,14-35-14
30,67,45,Red,Pulses,6,11,1,DAP
33,67,40,Red,Maize,35,5,40,10-26-26
37,67,35,Black,Sugarcane,32,17,32,14-35-14
36,53,53,Clayey,Oil seeds,31,7,31,Urea
33,66,39,Sandy,Cotton,32,7,3,Urea
27,54,27,Sandy,Sugarcane,20,9,3,10-26-26
31,70,63,Clayey,Pulses,39,12,21,DAP
29,57,41,Sandy,Paddy,15,12,23,20-20
34,71,34,Red,Tobacco,41,14,42,20-20
38,65,26,Black,Cotton,21,7,0,Urea
37,66,52,Red,Wheat,22,17,32,20-20
33,58,35,Sandy,Wheat,30,5,16,14-35-14
26,50,41,Sandy,Millets,16,4,8,Urea
30,71,26,Loamy,Tobacco,24,12,33,17-17-17
34,55,50,Clayey,Wheat,12,14,22,Urea
31,71,44,Sandy,Maize,5,12,9,10-26-26
36,64,49,Loamy,Wheat,36,3,2,14-35-14
28,55,60,Loamy,Cotton,23,18,30,28-28
29,72,36,Clayey,Oil seeds,40,4,8,28-28
37,59,46,Sandy,Sugarcane,4,19,31,20-20
30,51,49,Loamy,Cotton,11,17,25,28-28
29,57,32,Red,Paddy,31,1,3,DAP
25,67,32,Black,Oil seeds,12,10,16,14-35-14
25,57,51,Red,Oil seeds,36,13,32,17-17-17
33,52,41,Red,Cotton,39,3,28,28-28
38,52,37,Black,Cotton,42,5,28,Urea
30,66,50,Loamy,Paddy,35,19,18,14-35-14
33,59,53,Sandy,Millets,5,19,6,10-26-26
38,60,32,Loamy,Wheat,42,16,32,10-26-26
37,51,54,Clayey,Tobacco,41,14,19,28-28
31,52,54,Clayey,Paddy,35,5,20,17-17-17
32,56,55,Sandy,Sugarcane,6,8,26,Urea
37,58,48,Clayey,Ground Nuts,27,11,3,28-28
37,60,32,Clayey,Paddy,10,7,20,28-28
29,70,55,Sandy,Sugarcane,22,16,33,14-35-14
26,55,32,Sandy,Oil seeds,18,2,17,Urea
27,70,42,Red,Sugarcane,41,16,14,20-20
30,70,48,Loamy,Oil seeds,7,6,3,17-17-17
34,66,65,Sandy,Cotton,12,5,24,14-35-14
29,62,38,Red,Tobacco,37,0,34,10-26-26
38,59,49,Black,Barley,15,7,28,10-26-26
32,51,62,Sandy,Millets,15,0,31,17-17-17
30,51,49,Clayey,Sugarcane,25,16,0,10-26-26
38,71,35,Sandy,Millets,5,7,28,17-17-17
30,55,39,Clayey,Millets,16,15,36,14-35-14
29,62,55,Red,Paddy,18,17,13,20-20
31,64,58,Clayey,Tobacco,32,11,6,17-17-17
34,52,54,Sandy,Paddy,32,16,36,Urea
30,69,64,Sandy,Cotton,16,15,35,14-35-14
27,57,42,Red,Wheat,35,3,39,20-20
37,67,35,Red,Pulses,12,4,38,14-35-14
29,56,33,Clayey,Oil seeds,29,4,3,DAP
26,63,28,Black,Pulses,12,11,6,17-17-17
37,52,39,Black,Cotton,25,15,28,17-17-17
34,57,60,Sandy,Oil seeds,18,7,3,20-20
38,64,57,Red,Pulses,11,18,7,17-17-17
31,69,43,Sandy,Maize,26,12,29,10-26-26
38,50,37,Red,Maize,13,9,13,DAP
37,50,46,Red,Barley,25,8,10,14-35-14
31,53,43,Black,Pulses,19,17,19,DAP
32,50,64,Red,Barley,38,3,24,28-28
31,69,59,Red,Ground Nuts,32,14,30,14-35-14
36,51,38,Loamy,Tobacco,19,1,18,20-20
32,61,61,Clayey,Paddy,16,11,24,10-26-26
38,59,35,Clayey,Pulses,9,13,9,20-20
36,59,44,Clayey,Maize,30,13,0,10-26-26
35,59,54,Sandy,Sugarcane,14,3,18,10-26-26
36,69,60,Loamy,Millets,14,8,36,28-28
25,50,32,Clayey,Wheat,4,1,33,28-28
27,56,46,Clayey,Oil seeds,19,2,6,14-35-14
35,57,49,Loamy,Sugarcane,26,14,33,14-35-14
37,69,28,Loamy,Tobacco,4,6,21,Urea
37,50,61,Sandy,Wheat,12,11,14,20-20
36,54,38,Sandy,Oil seeds,39,10,20,17-17-17
33,55,63,Red,Ground Nuts,13,5,36,14-35-14
38,68,34,Red,Tobacco,14,2,20,28-28
35,55,47,Black,Millets,4,11,19,20-20
33,55,27,Clayey,Maize,27,5,15,28-28
28,50,43,Loamy,Barley,29,5,19,DAP
28,62,26,Black,Ground Nuts,14,9,27,17-17-17
25,57,27,Black,Pulses,29,3,35,Urea
33,56,25,Red,Ground Nuts,19,2,4,28-28
26,53,45,Black,Pulses,22,1,14,10-26-26
32,65,39,Sandy,Paddy,20,19,33,28-28
30,65,64,Red,Ground Nuts,32,4,16,17-17-17
30,51,27,Sandy,Millets,11,5,28,DAP
36,55,61,Red,Cotton,26,5,33,14-35-14
38,59,34,Black,Wheat,16,17,36,10-26-26
26,57,43,Sandy,Oil seeds,35,4,19,10-26-26
30,52,31,Sandy,Paddy,15,7,29,20-20
34,70,63,Black,Paddy,33,12,26,DAP
38,61,25,Sandy,Cotton,20,13,38,28-28
26,69,30,Black,Oil seeds,35,1,14,10-26-26
37,64,32,Red,Millets,14,1,14,DAP
25,59,60,Sandy,Paddy,19,11,2,28-28
29,61,42,Clayey,Pulses,19,9,29,20-20
27,64,39,Red,Sugarcane,24,8,28,17-17-17
25,59,34,Red,Tobacco,12,8,41,20-20
27,70,54,Red,Paddy,10,4,33,14-35-14
28,62,25,Black,Cotton,14,12,15,10-26-26
